NodeId,DataType,VariableMapping
ns=2;i=6,BOOL,Qc2Simens.CraneStatus1.ComTestFb
ns=2;i=7,BOOL,Qc2Simens.CraneStatus1.ControlOn
ns=2;i=8,BOOL,Qc2Simens.CraneStatus1.PumpOn
ns=2;i=9,BOOL,Qc2Simens.CraneStatus1.FaultReset
ns=2;i=10,BOOL,Qc2Simens.CraneStatus1.ComTestFb_Ctrl
ns=2;i=11,BOOL,Qc2Simens.CraneStatus1.RosInterupt
ns=2;i=12,BOOL,Qc2Simens.CraneStatus1.TrolleyAtParkPos
ns=2;i=13,BOOL,Qc2Simens.CraneStatus1.MtSsSpreaderLock
ns=2;i=14,BOOL,Qc2Simens.CraneStatus1.MtSsSpreaderUnlock
ns=2;i=15,BOOL,Qc2Simens.CraneStatus1.MtSsSpreaderLanded
ns=2;i=16,BOOL,Qc2Simens.CraneStatus1.MtSsSpreaderHomePos
ns=2;i=17,BOOL,Qc2Simens.CraneStatus1.MtLsSpreaderLock
ns=2;i=18,BOOL,Qc2Simens.CraneStatus1.MtLsSpreaderUnlock
ns=2;i=19,BOOL,Qc2Simens.CraneStatus1.MtLsSpreaderLanded
ns=2;i=20,BOOL,Qc2Simens.CraneStatus1.MtLsSpreaderHomePos
ns=2;i=21,BOOL,Qc2Simens.CraneStatus1.Spare_B15
ns=2;i=25,BOOL,Qc2Simens.CraneStatus2.RosSelectMt
ns=2;i=26,BOOL,Qc2Simens.CraneStatus2.RosSelectPt
ns=2;i=27,BOOL,Qc2Simens.CraneStatus2.MatrixEnable
ns=2;i=28,BOOL,Qc2Simens.CraneStatus2.AutoActive
ns=2;i=29,BOOL,Qc2Simens.CraneStatus2.Spare_B4
ns=2;i=30,BOOL,Qc2Simens.CraneStatus2.Spare_B5
ns=2;i=31,BOOL,Qc2Simens.CraneStatus2.Spare_B6
ns=2;i=32,BOOL,Qc2Simens.CraneStatus2.Spare_B7
ns=2;i=33,BOOL,Qc2Simens.CraneStatus2.MtTrolleyFwPermit
ns=2;i=34,BOOL,Qc2Simens.CraneStatus2.MtTrolleyBwPermit
ns=2;i=35,BOOL,Qc2Simens.CraneStatus2.MtTrolleyLimit
ns=2;i=36,BOOL,Qc2Simens.CraneStatus2.Spare_B11
ns=2;i=37,BOOL,Qc2Simens.CraneStatus2.MtHoistUpPermit
ns=2;i=38,BOOL,Qc2Simens.CraneStatus2.MtHoistDownPermit
ns=2;i=39,BOOL,Qc2Simens.CraneStatus2.MtHoistLimit
ns=2;i=40,BOOL,Qc2Simens.CraneStatus2.Spare_B15
ns=2;i=44,BOOL,Qc2Simens.CraneStatus3.MtSprdSLFlipperDown
ns=2;i=45,BOOL,Qc2Simens.CraneStatus3.MtSprdLLFlipperDown
ns=2;i=46,BOOL,Qc2Simens.CraneStatus3.MtSprdLRFlipperDown
ns=2;i=47,BOOL,Qc2Simens.CraneStatus3.MtSprdSRFlipperDown
ns=2;i=48,BOOL,Qc2Simens.CraneStatus3.Spare_B4
ns=2;i=49,BOOL,Qc2Simens.CraneStatus3.Spare_B5
ns=2;i=50,BOOL,Qc2Simens.CraneStatus3.Spare_B6
ns=2;i=51,BOOL,Qc2Simens.CraneStatus3.Spare_B7
ns=2;i=52,BOOL,Qc2Simens.CraneStatus3.Spare_B8
ns=2;i=53,BOOL,Qc2Simens.CraneStatus3.Spare_B9
ns=2;i=54,BOOL,Qc2Simens.CraneStatus3.Spare_B10
ns=2;i=55,BOOL,Qc2Simens.CraneStatus3.Spare_B11
ns=2;i=56,BOOL,Qc2Simens.CraneStatus3.Spare_B12
ns=2;i=57,BOOL,Qc2Simens.CraneStatus3.Spare_B13
ns=2;i=58,BOOL,Qc2Simens.CraneStatus3.Spare_B14
ns=2;i=59,BOOL,Qc2Simens.CraneStatus3.Spare_B15
ns=2;i=63,INT,Qc2Simens.CraneId
ns=2;i=64,UINT,Qc2Simens.HeartBeat
ns=2;i=65,DINT,Qc2Simens.GantryPosition
ns=2;i=66,DINT,Qc2Simens.MtTrolleyPosition
ns=2;i=67,DINT,Qc2Simens.MtHoistPosition
ns=2;i=68,INT,Qc2Simens.GantrySpeed
ns=2;i=69,INT,Qc2Simens.MtTrolleySpeed
ns=2;i=70,INT,Qc2Simens.MtHoistSpeed
ns=2;i=71,INT,Qc2Simens.HoistMaxSpeed
ns=2;i=72,INT,Qc2Simens.MtTrolleySpeedRef
ns=2;i=73,INT,Qc2Simens.MtHoistSpeedRef
ns=2;i=74,INT,Qc2Simens.MtSsSpreaderSize
ns=2;i=75,INT,Qc2Simens.MtSsSpreaderTwinGap
ns=2;i=76,INT,Qc2Simens.MtLsSpreaderSize
ns=2;i=77,INT,Qc2Simens.MtLsSpreaderTwinGap
ns=2;i=78,INT,Qc2Simens.MtLoadWeight
ns=2;i=79,INT,Qc2Simens.WindSpeed
ns=2;i=80,INT,Qc2Simens.Cylinder1Pos
ns=2;i=81,INT,Qc2Simens.Cylinder2Pos
ns=2;i=82,INT,Qc2Simens.Cylinder3Pos
ns=2;i=83,INT,Qc2Simens.Cylinder4Pos
ns=2;i=84,INT,Qc2Simens.WorkMode
ns=2;i=85,INT,Qc2Simens.TargetPosId
ns=2;i=86,INT,Qc2Simens.TargetMTPos
ns=2;i=87,INT,Qc2Simens.TargetMHPos
ns=2;i=88,INT,Qc2Simens.CurStartHeight
ns=2;i=89,INT,Qc2Simens.TrolleySpeedRefback
ns=2;i=90,INT,Qc2Simens.HoistSpeedRefback
ns=2;i=91,INT,Qc2Simens.TrolleyFrameHeight
ns=2;i=92,INT,Qc2Simens.HmiSafetyHeight
ns=2;i=122,BOOL,Qc2Simens.PtCraneStatus.PtControlOn
ns=2;i=123,BOOL,Qc2Simens.PtCraneStatus.PtPumpOn
